id,happiness,survey_type,province,city,county,survey_time,gender,birth,nationality,religion,religion_freq,edu,edu_status,edu_yr,income,political,join_party,floor_area,property_0,property_1,property_2,property_3,property_4,property_5,property_6,property_7,property_8,height_cm,weight_jin,health,health_problem,depression,hukou,hukou_loc,media_1,media_2,media_3,media_4,media_5,media_6,leisure_1,leisure_2,leisure_3,leisure_4,leisure_5,leisure_6,leisure_7,leisure_8,leisure_9,leisure_10,leisure_11,leisure_12,socialize,relax,learn,social_neighbor,social_friend,socia_outing,equity,class,class_10_before,class_10_after,class_14,work_exper,work_status,work_yr,work_type,work_manage,insur_1,insur_2,insur_3,insur_4,family_income,family_m,family_status,house,car,invest_0,invest_1,invest_2,invest_3,invest_4,invest_5,invest_6,invest_7,invest_8,son,daughter,minor_child,marital,marital_1st,s_birth,marital_now,s_edu,s_political,s_hukou,s_income,s_work_exper,s_work_status,s_work_type,f_birth,f_edu,f_political,f_work_14,m_birth,m_edu,m_political,m_work_14,status_peer,status_3_before,view,inc_ability,inc_exp,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,trust_7,trust_8,trust_9,trust_10,trust_11,trust_12,trust_13,neighbor_familiarity,public_service_1,public_service_2,public_service_3,public_service_4,public_service_5,public_service_6,public_service_7,public_service_8,public_service_9,age
1801,2,1,22,67,107,2015,1,1963,8,1,1,6,4.0,1983.0,100000,1,,100.0,0,1,0,0,0,0,0,0,0,172,130,4,5,4,1,2.0,3,3,1,4,2,2,1,5,4,4,5,4,4,5,5,5,5,3,3,3,3,5.0,4.0,4,4,4,4,4,4,1,3.0,-2.0,1.0,3.0,1,1,2,2,100000.0,2,2,1,2,0,1,0,0,0,0,0,0,0,1,0,0.0,7,1990.0,,,,,,,,,,1939,1,1,2,1942,1,1,2,2,2,4,2,150000.0,4,4,4,4,5,3,3,3,3,-8,-8,-8,2,3,80,80,80,80,80.0,80,80,80,80,3
1802,4,1,19,57,93,2015,2,1988,1,1,1,5,4.0,2006.0,60000,1,,60.0,0,0,0,0,0,0,0,0,1,161,96,3,3,3,1,3.0,2,2,2,4,5,1,1,5,4,5,5,3,4,4,3,4,5,1,4,4,2,5.0,5.0,1,2,4,2,5,2,1,3.0,9.0,1.0,2.0,1,1,2,2,250000.0,8,2,3,2,0,1,0,0,0,0,0,0,0,1,0,1.0,3,2010.0,1984.0,2010.0,12.0,1.0,4.0,50000.0,1.0,3.0,1.0,1962,6,1,1,1965,3,1,2,2,2,3,2,100000.0,4,5,-8,-8,4,4,4,4,4,4,-8,4,1,5,40,40,30,50,40.0,50,50,30,30,1
1803,5,1,4,7,19,2015,2,1981,1,0,3,12,4.0,2003.0,1000000,1,,96.0,0,1,0,0,0,0,0,0,0,160,108,3,5,3,2,3.0,5,3,1,4,5,1,3,3,4,1,4,4,3,5,5,5,5,1,4,3,4,6.0,3.0,4,1,7,3,10,3,1,1.0,10.0,1.0,2.0,1,1,1,2,3000000.0,4,5,5,1,0,0,1,1,0,0,0,0,0,0,1,1.0,3,2005.0,1973.0,2005.0,12.0,1.0,2.0,2000000.0,1.0,1.0,1.0,1955,3,1,10,1955,6,1,1,1,1,2,2,10000000.0,5,5,5,5,5,5,5,5,5,5,5,5,3,1,50,50,50,80,80.0,80,40,80,80,2
1804,4,1,30,85,128,2015,1,1929,1,0,6,8,4.0,-2.0,31000,1,,53.0,0,1,0,0,0,0,0,0,0,160,145,2,1,3,2,1.0,1,1,4,4,1,1,1,5,4,4,5,4,2,5,4,5,5,5,3,4,2,1.0,1.0,1,3,3,4,3,2,5,,,,,1,1,2,2,46000.0,2,3,1,2,0,1,0,0,0,0,0,0,0,2,2,0.0,3,-2.0,1941.0,-2.0,4.0,1.0,2.0,15000.0,5.0,,,-2,2,1,-8,-2,1,1,16,2,2,3,2,40000.0,4,4,4,4,4,4,2,4,3,3,4,4,1,5,100,50,60,60,60.0,70,70,60,60,5
1805,4,2,16,46,78,2015,2,1977,1,1,1,4,4.0,1992.0,50000,1,,120.0,0,1,1,0,0,0,0,0,0,160,105,5,4,4,1,3.0,1,2,1,3,5,1,1,5,2,5,4,3,1,1,5,5,3,1,4,4,4,1.0,2.0,2,4,5,3,7,3,1,2.0,22.0,1.0,2.0,1,1,2,2,80000.0,5,3,2,2,0,1,0,0,0,0,0,0,0,1,2,3.0,3,2000.0,1977.0,2000.0,4.0,1.0,1.0,30000.0,1.0,2.0,1.0,1950,3,1,2,1945,3,1,2,2,2,4,2,80000.0,4,4,5,3,5,4,3,5,4,3,3,3,2,5,86,86,77,68,76.0,75,77,86,67,2
1806,4,2,22,66,105,2015,2,1955,1,1,1,4,2.0,1970.0,0,1,,120.0,0,1,1,0,0,0,0,0,0,150,90,2,3,4,1,1.0,1,1,2,5,1,1,1,5,5,5,5,4,4,5,5,5,5,5,2,4,1,3.0,3.0,1,4,5,4,5,3,3,,,,,1,1,2,2,4000.0,3,2,1,2,0,1,0,0,0,0,0,0,0,2,1,0.0,3,1970.0,1947.0,1970.0,3.0,1.0,1.0,4000.0,3.0,,,1910,1,1,2,-2,1,1,2,2,2,4,2,5000.0,4,3,3,3,4,4,3,3,3,3,3,3,3,4,80,65,75,80,80.0,80,80,80,80,3
1807,4,1,5,8,23,2015,2,1942,1,0,1,3,4.0,1955.0,10000,1,,54.0,0,1,0,0,0,0,0,0,0,160,130,3,4,4,2,2.0,4,1,3,4,1,1,1,5,3,2,5,4,5,2,5,5,5,5,1,3,1,,,1,4,4,3,4,2,5,,,,,2,2,1,1,10000.0,1,2,1,2,0,1,0,0,0,0,0,0,0,1,2,0.0,7,1967.0,,,,,,,,,,1912,2,1,9,1909,1,1,15,3,2,3,3,40000.0,4,2,-8,-8,5,4,2,-8,2,2,-8,2,1,4,60,60,60,60,60.0,60,60,60,60,4
1808,4,2,29,84,127,2015,2,1958,1,1,1,1,,,20000,1,,70.0,0,1,0,0,0,0,0,0,0,150,110,2,2,3,1,1.0,1,1,1,5,1,1,1,5,2,5,5,4,4,5,2,5,5,5,3,4,1,1.0,6.0,4,4,4,2,5,1,3,,,,,1,1,2,2,50000.0,2,2,2,2,0,1,0,0,0,0,0,0,0,1,1,0.0,3,1981.0,1957.0,1981.0,7.0,1.0,4.0,30000.0,1.0,3.0,1.0,-2,-8,-8,-8,-2,-8,-8,-8,3,1,5,2,55000.0,5,4,3,3,4,-8,4,-8,5,-8,-8,-8,3,5,80,50,50,70,30.0,60,50,0,0,3
1809,4,1,27,77,117,2015,2,1988,1,1,1,10,4.0,2008.0,0,1,,100.0,0,0,0,0,1,0,0,0,0,167,115,4,4,5,2,1.0,2,2,2,5,5,1,1,3,1,4,5,3,3,2,3,5,5,1,3,5,2,2.0,3.0,1,1,2,3,5,4,6,,,,,1,2,2,2,40000.0,2,3,0,2,0,1,0,0,0,0,0,0,0,0,0,,3,2011.0,1983.0,2011.0,6.0,4.0,2.0,40000.0,1.0,3.0,1.0,1965,4,1,1,1965,4,1,12,3,3,4,-8,-2.0,3,2,-8,-8,4,-8,2,3,2,2,2,2,2,4,80,70,80,80,80.0,70,80,90,90,1
1810,4,2,6,14,30,2015,2,1975,1,1,1,4,2.0,1985.0,0,1,,100.0,0,0,1,0,0,0,0,0,0,160,120,4,3,4,1,1.0,2,4,4,2,3,2,3,4,3,4,4,4,3,3,4,5,4,3,3,4,2,4.0,4.0,2,4,3,2,2,2,4,,,,,1,1,2,2,100000.0,4,3,1,2,0,1,0,0,0,0,0,0,0,1,1,2.0,3,2000.0,1975.0,2000.0,4.0,1.0,1.0,100000.0,1.0,1.0,1.0,1940,1,1,2,1941,1,1,2,2,2,4,2,6000.0,4,3,4,4,4,3,4,4,4,4,3,3,2,4,70,66,79,70,70.0,80,75,70,80,2
1811,3,1,4,7,18,2015,1,1964,1,1,1,7,4.0,1995.0,26000,1,,60.0,0,1,0,0,0,0,0,0,0,168,150,3,3,2,4,2.0,3,3,4,5,3,1,1,5,2,3,5,4,4,3,1,5,5,2,2,3,4,5.0,5.0,1,1,3,5,-8,4,1,3.0,35.0,1.0,3.0,1,1,2,2,26000.0,2,2,1,2,0,0,1,0,0,0,0,0,0,1,0,0.0,3,1993.0,1968.0,1993.0,5.0,1.0,1.0,6000.0,5.0,,,1923,1,1,1,1923,1,1,2,2,3,4,3,60000.0,4,4,4,4,4,4,4,5,2,4,-8,4,2,4,80,60,30,50,70.0,60,50,70,80,3
1812,4,2,9,20,42,2015,2,1964,1,1,1,3,4.0,1979.0,16000,1,,120.0,0,1,1,0,0,0,0,0,0,158,106,3,5,2,1,2.0,1,1,1,4,1,1,1,5,3,5,5,4,3,5,5,5,5,5,3,3,1,3.0,3.0,2,1,6,1,8,1,2,,,,,1,1,2,2,120000.0,2,3,1,2,0,1,0,0,0,0,0,0,0,2,0,0.0,3,1988.0,1962.0,1988.0,4.0,1.0,1.0,30000.0,1.0,4.0,1.0,1925,1,1,2,1935,1,1,2,2,1,1,2,20000.0,5,5,5,5,5,4,4,3,3,4,4,2,3,5,90,80,70,70,60.0,80,60,80,60,3
1813,4,1,12,33,62,2015,2,1981,1,0,6,4,4.0,1998.0,0,1,,180.0,0,0,0,0,0,0,0,0,1,162,98,5,4,5,1,1.0,1,1,1,4,4,1,1,4,3,5,5,3,3,4,5,5,5,1,2,3,1,2.0,2.0,1,4,5,4,6,5,5,,,,,1,2,2,2,80000.0,5,3,0,2,0,1,0,0,0,0,0,0,0,1,2,3.0,3,2005.0,1980.0,2005.0,4.0,1.0,1.0,80000.0,1.0,3.0,1.0,1953,4,4,1,1953,3,1,5,2,2,3,-8,-2.0,5,2,2,2,5,3,2,3,3,3,3,3,2,4,60,50,50,50,50.0,50,80,80,85,2
1814,4,2,15,42,73,2015,2,1955,1,1,1,4,4.0,1971.0,10000,1,,90.0,0,1,0,0,0,0,0,0,0,160,100,2,4,3,1,1.0,2,1,1,4,1,1,1,5,4,4,5,3,4,5,3,5,4,5,2,3,1,2.0,4.0,1,3,5,4,5,2,1,3.0,15.0,1.0,3.0,2,2,2,2,17000.0,2,2,1,2,0,1,0,0,0,0,0,0,0,0,2,0.0,3,1977.0,1951.0,1977.0,3.0,1.0,1.0,7000.0,1.0,3.0,1.0,1921,3,1,1,1921,1,1,2,3,2,3,3,20000.0,4,3,4,4,4,3,2,4,4,4,3,2,2,5,60,70,80,90,70.0,80,70,80,80,3
1815,4,1,19,57,91,2015,2,1982,1,1,1,13,4.0,2006.0,100000,4,-2.0,40.0,0,1,0,0,0,0,0,0,0,163,108,4,4,4,2,1.0,3,3,3,4,5,5,4,3,4,4,4,4,3,4,3,4,3,4,3,4,3,4.0,6.0,3,2,5,5,5,5,1,3.0,9.0,1.0,2.0,1,1,2,2,200000.0,2,3,1,2,0,0,1,0,0,0,0,0,0,0,1,1.0,3,2008.0,1976.0,2008.0,13.0,4.0,2.0,100000.0,1.0,3.0,1.0,1950,3,1,2,1953,1,1,2,2,1,3,2,150000.0,4,3,4,3,4,4,4,5,3,4,4,5,4,3,60,65,70,75,80.0,85,75,70,80,2
1816,4,2,6,17,33,2015,1,1942,1,1,1,3,4.0,1955.0,3000,1,,70.0,0,0,0,1,0,0,0,0,0,160,90,4,5,5,1,1.0,1,1,1,3,1,1,2,5,4,5,5,4,5,5,5,5,5,5,4,4,1,1.0,6.0,1,4,6,5,6,3,4,,,,,1,1,2,2,3000.0,2,3,1,2,0,1,0,0,0,0,0,0,0,2,2,0.0,3,1961.0,1944.0,1961.0,1.0,1.0,1.0,0.0,4.0,,,-2,1,1,2,1899,1,1,2,2,1,4,2,-2.0,5,5,5,5,5,-8,-8,-8,4,-8,-8,-8,4,5,90,90,90,90,90.0,90,90,90,90,4
1817,4,1,12,32,60,2015,1,1976,1,1,1,4,2.0,1990.0,10000,1,,40.0,0,0,0,0,0,0,0,0,1,175,135,4,5,4,1,3.0,1,1,1,4,1,1,1,5,4,5,5,4,4,5,5,5,5,5,2,4,2,6.0,5.0,1,3,5,1,8,3,1,5.0,19.0,1.0,4.0,1,1,2,2,20000.0,2,3,1,2,0,1,0,0,0,0,0,0,0,1,1,2.0,3,2009.0,1977.0,2009.0,4.0,1.0,1.0,10000.0,4.0,,,1953,4,1,2,1956,4,1,2,2,1,3,2,20000.0,4,2,4,2,5,4,2,4,4,2,-8,2,1,2,99,80,90,90,100.0,100,100,100,100,2
1818,5,1,22,65,103,2015,2,1973,1,0,3,4,4.0,1988.0,3000,1,,68.0,0,0,0,0,0,0,0,0,1,152,114,3,5,5,4,2.0,2,2,1,5,4,1,1,5,2,2,5,5,5,4,1,5,3,2,2,2,1,1.0,4.0,1,4,1,5,1,1,5,,,,,1,1,1,1,30000.0,3,3,1,2,0,1,0,0,0,0,0,0,0,1,0,0.0,3,1995.0,1971.0,1995.0,5.0,4.0,4.0,27000.0,1.0,3.0,1.0,1937,1,4,1,1946,4,1,2,3,1,4,3,25000.0,4,2,4,4,5,5,2,5,2,4,5,5,1,5,80,80,80,70,60.0,60,70,60,70,2
1819,4,2,2,5,12,2015,2,1975,8,1,1,3,4.0,1989.0,10000,1,,200.0,0,0,1,0,0,0,0,0,0,155,90,5,5,4,1,1.0,1,1,1,3,1,1,1,2,5,5,5,3,3,5,2,5,5,5,4,3,1,3.0,3.0,1,4,5,5,5,5,2,,,,,1,1,2,2,30000.0,2,3,1,1,0,1,0,0,0,0,0,0,0,1,0,1.0,3,1994.0,1975.0,1994.0,3.0,1.0,1.0,20000.0,2.0,,,1945,1,1,2,1947,1,1,2,2,1,4,-8,80000.0,4,3,3,3,4,4,2,-8,-8,-8,-8,-8,2,4,80,90,-2,80,70.0,80,-2,-2,-2,2
1820,4,1,12,34,63,2015,1,1969,1,0,3,12,4.0,1992.0,400000,4,1995.0,35.0,0,0,0,0,0,0,0,0,1,172,150,3,3,3,5,3.0,2,2,1,3,4,4,2,4,3,3,3,3,3,2,2,5,5,1,5,4,4,7.0,7.0,2,4,8,8,8,4,1,2.0,23.0,1.0,2.0,1,1,2,2,500000.0,3,5,3,1,0,1,0,0,0,0,0,0,0,1,0,0.0,3,1993.0,1969.0,1993.0,12.0,4.0,2.0,100000.0,1.0,3.0,1.0,1949,10,4,11,1951,10,4,11,2,1,4,2,1000000.0,4,3,3,3,3,3,3,4,4,3,4,4,2,2,60,50,40,50,50.0,60,70,80,80,2
1821,4,2,22,66,106,2015,2,1946,1,1,1,3,2.0,,10000,1,,300.0,0,0,0,1,0,0,0,0,0,153,70,3,3,4,1,1.0,3,1,1,4,1,1,1,5,4,3,5,3,4,5,5,5,-8,5,3,3,2,2.0,2.0,4,2,5,3,5,2,4,,,,,1,1,2,2,100000.0,4,3,3,2,0,1,0,0,0,0,0,0,0,2,0,0.0,3,1966.0,1946.0,1966.0,6.0,1.0,1.0,30000.0,4.0,,,-2,1,1,2,1924,1,1,2,1,1,3,2,10000.0,4,4,5,4,5,-8,2,4,3,-8,-8,3,1,5,100,60,90,60,60.0,60,80,50,50,4
1822,4,1,12,34,64,2015,1,1965,1,0,3,12,4.0,1986.0,1000000,1,,200.0,0,0,1,0,0,0,0,0,0,165,135,5,5,5,2,2.0,2,2,3,4,4,1,1,4,4,4,4,4,4,2,4,4,4,1,3,4,2,2.0,3.0,1,3,6,6,5,1,2,,,,,1,1,1,1,1000000.0,3,2,1,1,0,0,1,0,0,0,0,0,0,2,0,1.0,3,1996.0,1972.0,1996.0,7.0,1.0,2.0,0.0,5.0,,,1925,3,1,16,1926,1,1,2,2,2,3,2,1000000.0,4,4,4,4,4,4,4,4,4,4,4,4,2,3,70,60,50,60,50.0,50,50,60,100,3
1823,4,1,12,32,59,2015,1,1981,1,1,1,9,4.0,2008.0,0,1,,77.0,0,1,0,0,0,0,0,0,0,170,150,4,4,4,2,1.0,3,3,2,4,4,2,1,2,3,2,4,3,3,2,1,5,5,1,3,4,3,3.0,4.0,2,3,2,1,-8,1,5,,,,,1,2,2,2,70000.0,3,3,1,2,0,1,0,0,0,0,0,0,0,2,0,0.0,1,,,,,,,,,,,1956,6,1,1,-2,-8,1,16,2,2,3,-8,50000.0,4,3,-8,-8,4,4,3,3,3,3,-8,3,2,3,5,50,0,70,50.0,60,50,60,60,2
1824,4,2,5,9,25,2015,1,1987,1,1,1,4,4.0,2004.0,3000,1,,80.0,0,0,0,0,1,0,0,0,0,170,110,5,5,5,1,1.0,1,1,1,3,5,1,3,5,5,5,5,4,4,5,5,5,5,1,2,2,2,6.0,6.0,1,4,1,1,2,1,2,,,,,2,2,2,2,12000.0,3,2,1,2,0,1,0,0,0,0,0,0,0,0,0,,1,,,,,,,,,,,1947,3,1,2,1953,4,1,2,3,2,4,3,50000.0,5,4,4,3,5,3,3,3,3,3,2,4,2,5,100,100,100,100,100.0,100,100,100,100,1
1825,4,1,13,37,68,2015,1,1966,1,1,1,3,4.0,-2.0,24000,1,,600.0,0,0,0,0,1,0,0,0,0,160,130,2,4,4,2,1.0,2,2,2,5,3,2,1,5,4,4,4,4,4,4,5,5,5,1,3,4,1,2.0,2.0,1,2,3,2,4,2,1,3.0,30.0,1.0,3.0,2,2,2,2,-2.0,11,2,2,2,0,1,0,0,0,0,0,0,0,2,0,0.0,3,1997.0,1951.0,1997.0,3.0,1.0,2.0,-2.0,1.0,3.0,1.0,1942,3,1,2,-2,3,1,2,2,1,4,2,-2.0,4,4,3,-8,4,4,2,2,2,2,2,2,1,4,10,10,-2,-2,80.0,-2,-2,-2,50,3
1826,5,2,16,47,79,2015,2,1951,1,-8,1,3,2.0,,20000,1,,190.0,0,1,0,0,0,0,0,0,0,160,100,5,5,5,1,1.0,1,1,1,4,1,1,1,5,1,5,5,5,5,1,1,5,5,5,4,4,1,1.0,7.0,1,5,4,2,7,1,4,,,,,1,2,2,2,20000.0,2,3,1,2,0,1,0,0,0,0,0,0,0,3,0,0.0,3,1969.0,1947.0,1969.0,4.0,1.0,1.0,0.0,4.0,,,-2,1,1,2,-2,1,1,2,2,1,3,2,10000.0,5,4,4,3,4,-8,4,-8,4,5,-8,-8,1,5,80,80,80,80,85.0,70,80,70,80,3
1827,4,2,28,81,121,2015,1,1942,1,1,1,7,4.0,1960.0,5000,1,,225.0,0,1,0,0,0,0,0,0,0,171,140,3,3,4,1,1.0,1,1,1,3,1,2,2,5,5,5,5,4,4,5,5,5,5,5,3,2,1,3.0,3.0,1,4,2,1,5,2,3,,,,,1,1,2,2,-2.0,1,3,1,2,0,1,0,0,0,0,0,0,0,2,1,0.0,7,1968.0,,,,,,,,,,-2,2,1,2,1907,1,1,2,2,2,4,2,5000.0,4,4,3,2,4,2,2,3,3,-8,-8,-8,2,4,80,80,80,70,60.0,80,90,80,60,4
1828,3,1,4,7,14,2015,2,1952,3,1,1,4,4.0,1969.0,30000,1,,30.0,0,1,0,0,0,0,0,0,0,162,130,3,2,3,4,1.0,2,2,3,2,1,1,1,5,2,5,5,4,2,2,1,5,5,5,4,4,1,5.0,2.0,3,3,4,5,4,7,5,,,,,1,1,2,2,30000.0,1,3,2,2,0,1,0,0,0,0,0,0,0,1,0,0.0,7,1977.0,,,,,,,,,,-2,3,1,2,-2,-8,1,2,2,3,4,4,60000.0,3,3,3,3,3,3,3,4,3,4,3,3,2,4,80,60,60,60,60.0,60,60,70,70,3
1829,4,1,1,1,2,2015,1,1939,1,1,1,4,4.0,-2.0,36000,1,,104.0,0,1,0,0,0,0,0,0,0,169,130,3,3,4,2,3.0,3,3,3,4,3,3,2,5,2,3,5,4,4,3,2,5,5,3,2,4,2,6.0,5.0,3,3,4,4,4,4,5,,,,,1,1,2,2,120000.0,3,3,2,2,0,1,0,0,0,0,0,0,0,0,1,0.0,3,1970.0,1949.0,1970.0,4.0,1.0,2.0,36000.0,5.0,,,-2,4,1,1,-2,2,1,15,2,2,3,3,60000.0,3,3,3,3,3,3,3,3,3,3,3,3,3,2,-2,-2,-2,-2,-2.0,-2,-2,-2,-2,4
1830,5,1,12,32,58,2015,2,1944,1,1,3,3,4.0,1958.0,36000,1,,78.0,0,1,0,0,0,0,0,0,0,158,120,3,5,5,2,1.0,5,2,1,4,1,1,1,5,2,1,4,4,3,5,5,5,5,5,4,4,4,2.0,2.0,1,3,10,10,10,5,5,,,,,1,1,2,2,30000.0,2,3,1,2,0,1,0,0,0,0,0,0,0,3,0,0.0,3,1965.0,1929.0,1965.0,4.0,1.0,5.0,-3.0,5.0,,,-2,4,1,1,-2,1,1,1,2,1,4,2,60000.0,5,2,2,2,4,4,3,3,3,3,3,3,1,4,60,80,75,86,80.0,60,60,60,60,4
1831,4,2,16,46,78,2015,1,1963,1,1,1,3,4.0,1974.0,8000,1,,200.0,0,1,0,0,0,0,0,0,0,166,106,4,4,4,1,1.0,1,1,1,4,1,1,1,5,4,5,5,4,2,5,5,5,5,5,1,2,1,,,1,4,5,4,8,4,3,,,,,1,2,2,2,20000.0,6,3,1,2,0,1,0,0,0,0,0,0,0,1,1,0.0,3,1983.0,1965.0,1983.0,1.0,1.0,1.0,0.0,4.0,,,1935,1,1,2,1938,1,1,2,2,2,3,2,30000.0,5,4,4,4,5,-8,3,4,3,-8,-8,-8,3,5,60,60,75,70,75.0,75,70,60,80,3
1832,4,2,10,24,46,2015,2,1936,1,1,1,1,,,840,1,,110.0,0,1,0,0,0,0,0,0,0,160,120,2,1,2,1,1.0,1,1,1,3,1,1,2,5,5,5,5,3,5,5,5,5,5,5,1,4,1,,,1,4,4,5,4,4,4,,,,,1,1,2,2,840.0,1,1,1,2,0,1,0,0,0,0,0,0,0,1,2,0.0,7,1961.0,,,,,,,,,,-2,1,1,2,-2,1,1,2,2,2,4,2,20000.0,5,4,5,4,5,-8,5,-8,5,5,5,5,1,5,80,80,80,75,80.0,80,76,80,80,4
1833,4,2,18,55,89,2015,2,1984,1,1,3,7,4.0,1998.0,0,1,,400.0,0,0,0,0,0,1,0,0,0,170,150,5,5,5,1,1.0,1,1,1,5,5,1,1,5,3,5,5,4,4,2,5,5,5,1,2,4,1,3.0,2.0,1,3,5,5,6,5,5,,,,,1,1,2,2,-2.0,6,3,1,2,0,1,0,0,0,0,0,0,0,0,1,1.0,3,2000.0,1983.0,2000.0,6.0,4.0,1.0,-2.0,1.0,3.0,1.0,-2,6,1,2,-2,5,1,2,2,1,3,-8,-2.0,4,4,4,4,5,-8,4,5,3,-8,-8,-8,3,5,70,75,-2,90,86.0,80,80,80,80,1
1834,4,2,29,83,126,2015,2,1958,1,1,1,1,,,4000,1,,90.0,0,1,1,0,0,0,0,0,0,156,95,4,4,4,1,1.0,1,1,1,3,1,1,5,4,5,4,5,5,5,4,5,4,5,5,2,1,1,6.0,6.0,1,4,4,3,4,3,6,,,,,1,1,2,2,10000.0,1,3,1,2,0,1,0,0,0,0,0,0,0,2,0,0.0,3,1980.0,1953.0,1980.0,3.0,1.0,1.0,7000.0,1.0,5.0,1.0,-2,1,1,2,-2,1,1,15,2,2,4,2,6000.0,5,4,5,4,5,4,5,5,4,5,4,4,4,4,80,70,80,80,70.0,80,80,70,90,3
1835,4,2,9,23,45,2015,1,1991,1,1,1,4,4.0,2007.0,40000,1,,258.0,0,1,0,0,0,0,0,0,0,170,126,4,5,5,1,1.0,1,1,2,4,5,1,1,5,2,5,5,3,1,4,4,5,3,1,2,4,1,3.0,7.0,1,2,6,1,6,5,1,2.0,8.0,1.0,4.0,1,1,2,2,120000.0,4,3,3,2,0,1,0,0,0,0,0,0,0,0,0,,1,,,,,,,,,,,1963,3,1,1,1968,3,1,1,2,1,3,2,100000.0,5,2,2,2,5,5,2,5,2,2,2,2,1,5,60,60,30,30,60.0,60,80,80,80,1
1836,4,2,17,50,83,2015,1,1950,1,1,1,3,2.0,,3000,1,,150.0,0,1,0,0,0,0,0,0,0,172,140,5,4,5,1,1.0,1,1,1,5,1,1,1,5,5,5,5,4,4,5,5,5,3,5,4,4,1,1.0,1.0,1,2,3,3,3,2,4,,,,,1,1,2,2,3000.0,1,3,2,2,0,1,0,0,0,0,0,0,0,1,0,0.0,1,,,,,,,,,,,-2,1,1,2,-2,1,1,2,2,2,4,2,6000.0,3,3,3,3,5,3,3,3,3,3,3,3,3,4,60,65,63,72,64.0,68,69,70,72,4
1837,4,1,4,7,14,2015,1,1940,1,1,1,7,4.0,1987.0,48000,4,1964.0,56.3,0,0,1,0,0,0,0,0,0,158,108,4,5,5,5,2.0,4,4,4,4,1,1,1,5,2,2,5,4,5,5,2,4,5,5,3,3,4,2.0,2.0,2,2,3,4,3,2,5,,,,,1,2,2,2,96000.0,2,2,1,2,0,0,0,1,0,0,0,0,0,1,1,0.0,3,1969.0,1939.0,1969.0,9.0,4.0,5.0,48000.0,5.0,,,1900,1,1,2,1902,1,1,2,3,1,4,2,96000.0,4,4,4,4,5,4,4,4,3,3,-8,4,3,3,70,80,80,80,70.0,80,70,70,80,4
1838,4,2,16,44,75,2015,2,1992,1,1,1,11,1.0,-1.0,0,2,,130.0,0,0,0,0,0,0,0,1,0,160,110,5,4,4,1,1.0,2,4,2,5,5,5,1,4,3,1,1,4,3,1,3,5,5,1,3,3,5,5.0,3.0,1,4,5,2,5,2,6,,,,,1,2,2,2,20000.0,5,3,1,2,0,1,0,0,0,0,0,0,0,0,0,,1,,,,,,,,,,,1937,1,1,2,1942,1,1,2,2,1,4,-8,100000.0,4,4,4,4,4,3,3,4,4,3,3,3,3,5,70,70,70,80,60.0,60,70,80,80,1
1839,2,2,23,68,108,2015,2,1946,1,1,1,3,4.0,1962.0,6500,1,,25.0,0,0,1,1,0,0,0,0,0,156,90,2,3,3,1,1.0,1,1,1,2,1,1,1,5,3,5,5,4,5,5,5,5,2,5,2,2,1,5.0,7.0,2,3,5,7,5,1,3,,,,,1,1,2,2,30000.0,2,2,1,2,0,1,0,0,0,0,0,0,0,2,2,0.0,3,1964.0,1944.0,1964.0,4.0,1.0,1.0,6000.0,3.0,,,1924,1,4,1,1916,1,1,2,2,3,1,1,6000.0,5,5,5,1,4,-8,2,-8,5,-8,5,5,1,2,70,80,50,50,50.0,60,70,-2,50,4
1840,4,1,1,1,4,2015,1,1984,1,1,1,10,4.0,2006.0,48000,1,,43.0,0,1,0,0,0,0,0,0,0,183,150,4,4,4,2,1.0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,1,3,3,3,7.0,3.0,2,4,5,5,5,5,1,6.0,9.0,1.0,2.0,1,1,2,2,48000.0,1,3,1,2,0,0,1,0,0,0,0,0,0,0,0,,1,,,,,,,,,,,1954,10,4,6,1955,7,4,6,2,2,3,2,200000.0,3,3,3,3,4,4,3,4,3,3,3,3,2,3,90,85,85,85,85.0,85,85,85,85,1
1841,4,1,21,61,97,2015,2,1993,1,1,1,4,4.0,2009.0,-2,1,,200.0,0,0,0,0,0,0,0,0,1,155,105,5,5,5,2,1.0,1,1,1,2,2,1,2,5,5,5,5,5,5,5,2,5,5,1,1,1,1,,,1,4,3,3,3,3,1,7.0,5.0,1.0,4.0,1,2,2,2,-2.0,6,3,1,2,0,1,0,0,0,0,0,0,0,0,0,,3,2015.0,1987.0,2015.0,4.0,1.0,2.0,-2.0,1.0,7.0,1.0,1970,3,1,9,1972,3,1,9,3,1,4,2,200000.0,3,3,3,3,4,-8,2,4,4,-8,-8,-8,1,4,60,70,20,50,60.0,50,40,50,60,1
